iso,country,year,health_exp,life_exp
AUS,Australia,2015,10.1,82.4
AUS,Australia,2016,10.1,82.4
AUS,Australia,2017,10.1,82.5
AUS,Australia,2018,10.1,82.8
AUS,Australia,2019,10.3,82.9
AUS,Australia,2020,10.7,83.2
AUS,Australia,2021,10.5,83.3
AUS,Australia,2022,9.9,83.2
AUS,Australia,2023,9.9,83
AUT,Austria,2015,10.5,81.3
AUT,Austria,2016,10.5,81.8
AUT,Austria,2017,10.6,81.7
AUT,Austria,2018,10.5,81.8
AUT,Austria,2019,10.6,82
AUT,Austria,2020,11.4,81.3
AUT,Austria,2021,12.2,81.3
AUT,Austria,2022,11.2,81.4
AUT,Austria,2023,11.2,81.9
BEL,Belgium,2015,10.9,81.1
BEL,Belgium,2016,10.9,81.5
BEL,Belgium,2017,10.9,81.6
BEL,Belgium,2018,11,81.7
BEL,Belgium,2019,10.9,82.1
BEL,Belgium,2020,11.5,80.8
BEL,Belgium,2021,11.3,81.9
BEL,Belgium,2022,10.7,81.8
BEL,Belgium,2023,10.8,82.5
CAN,Canada,2015,10.8,81.9
CAN,Canada,2016,11.1,82
CAN,Canada,2017,10.9,81.9
CAN,Canada,2018,10.9,81.9
CAN,Canada,2019,11,82.2
CAN,Canada,2020,13,81.6
CAN,Canada,2021,12.4,81.6
CAN,Canada,2022,11.1,81.3
CAN,Canada,2023,11.2,81.7
CHL,Chile,2015,8.4,79.8
CHL,Chile,2016,8.6,80
CHL,Chile,2017,9.1,80.2
CHL,Chile,2018,9.2,80.4
CHL,Chile,2019,9.3,80.6
CHL,Chile,2020,9.7,80.8
CHL,Chile,2021,9.7,81
CHL,Chile,2022,10,81.2
CHL,Chile,2023,10.2,81.4
COL,Colombia,2015,7.5,75.4
COL,Colombia,2016,7.5,75.7
COL,Colombia,2017,7.7,75.9
COL,Colombia,2018,7.7,76.5
COL,Colombia,2019,7.8,76.6
COL,Colombia,2020,8.7,76.7
COL,Colombia,2021,9.1,76.8
COL,Colombia,2022,7.6,76.9
COL,Colombia,2023,8.2,77.2
CRI,Costa Rica,2015,7.6,79.9
CRI,Costa Rica,2016,7.3,80
CRI,Costa Rica,2017,7,80.2
CRI,Costa Rica,2018,7.3,80.3
CRI,Costa Rica,2019,7.2,80.5
CRI,Costa Rica,2020,7.8,80.6
CRI,Costa Rica,2021,7.6,80.8
CRI,Costa Rica,2022,7.2,80.9
CRI,Costa Rica,2023,6.9,81
CZE,Czechia,2015,7.3,78.7
CZE,Czechia,2016,7.3,79.1
CZE,Czechia,2017,7.2,79.1
CZE,Czechia,2018,7.4,79.1
CZE,Czechia,2019,7.5,79.3
CZE,Czechia,2020,9,78.3
CZE,Czechia,2021,9.2,77.2
CZE,Czechia,2022,8.5,79
CZE,Czechia,2023,8.4,79.9
DNK,Denmark,2015,10.4,80.8
DNK,Denmark,2016,10.3,80.9
DNK,Denmark,2017,10.1,81.1
